0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0.568,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2,-0.6,-1.0,1.0,1.0,1.0,-1.0,0.0,-0.2,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.589,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6,0.2,-0.75,-1.0,-1.0,-1.0,0.0,1.0,-0.2,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.621,0.0,-0.6,-1.0,1.0,1.0,1.0,-1.0,-0.3325,-0.2,-0.2,-0.2,-1.0,-1.0,0.0,0.0,-1.0,0.0,-0.6,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.628,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.2,0.6,-0.5,-1.0,0.0,0.0,-1.0,0.0,-0.6,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.634,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.649,-1.0,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3325,-1.0,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3325,-0.3325,-1.0,-1.0,-1.0,-1.0,0.0,-0.3325,-1.0
0.661,-0.5,0.2,-0.25,-1.0,1.0,0.0,-1.0,-0.3325,-0.6,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3325,1.0,1.0,-1.0,1.0,0.0,0.0,-0.3325,-0.3325
0.665,-0.5,1.0,1.0,-1.0,0.0,0.0,-1.0,-0.3325,-0.6,-0.2,-0.2,-1.0,-1.0,0.0,0.0,-1.0,0.0,-0.6,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.671,-0.5,-0.2,-1.0,-1.0,0.0,0.0,-1.0,-0.3325,-0.6,-0.2,1.0,1.0,-1.0,0.0,0.0,-1.0,0.0,-0.6,0.3325,0.3325,-1.0,-1.0,0.0,0.0,0.0,-0.3325,-0.3325
0.7,-0.5,0.6,-0.25,-1.0,0.0,0.0,-1.0,-0.3325,-0.6,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.716,-0.5,-0.2,-1.0,-1.0,0.0,0.0,-1.0,-0.3325,-0.6,-0.2,0.6,-0.5,-1.0,0.0,0.0,-1.0,0.0,-0.6,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.717,-0.5,-0.2,-1.0,-1.0,0.0,0.0,-1.0,-0.3325,-0.6,0.2,-0.6,-1.0,1.0,1.0,1.0,-1.0,0.0,-0.2,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.734,-0.5,0.6,-0.5,-1.0,0.0,0.0,-1.0,-0.3325,-0.6,-0.2,-0.2,-1.0,-1.0,0.0,0.0,-1.0,0.0,-0.6,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.741,-0.5,-0.2,-1.0,-1.0,0.0,0.0,-1.0,-0.3325,-0.6,-0.6,-0.2,-1.0,-1.0,0.0,1.0,-1.0,0.0,-0.6,0.3325,0.3325,-1.0,-1.0,0.0,0.0,0.0,-0.3325,-0.3325
0.749,-0.5,-0.2,-1.0,-1.0,0.0,0.0,-1.0,-0.3325,-0.6,-0.2,0.2,0.0,-1.0,1.0,0.0,-1.0,0.0,-0.6,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.753,0.5,0.2,-0.75,-1.0,-1.0,-1.0,0.0,0.3325,-0.2,-0.2,-0.2,-1.0,-1.0,0.0,0.0,-1.0,0.0,-0.6,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.756,-1.0,-0.2,-0.5,-1.0,-1.0,-1.0,-1.0,-0.3325,-1.0,-0.6,-0.2,-0.5,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-0.3325,0.3325,0.3325,-1.0,-1.0,-1.0,0.0,-0.3325,-1.0
0.772,-0.5,-0.2,-1.0,-1.0,0.0,0.0,-1.0,-0.3325,-0.6,0.6,0.2,-0.75,-1.0,-1.0,-1.0,0.0,1.0,-0.2,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.805,-0.5,-0.2,-1.0,-1.0,0.0,0.0,-1.0,-0.3325,-0.6,0.2,-0.6,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-0.2,0.3325,0.3325,-1.0,-1.0,0.0,0.0,0.0,-0.3325,-0.3325
0.554,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.6,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.628,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.2,-0.2,-1.0,0.0,0.0,0.0,-1.0,0.0,-0.6,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.638,0.0,-0.6,-1.0,-1.0,-1.0,0.0,-1.0,0.3325,-0.2,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.829,-0.5,-0.2,-1.0,-1.0,0.0,0.0,-1.0,-0.3325,-0.6,-0.2,0.2,0.0,-1.0,1.0,0.0,-1.0,0.0,-0.6,0.3325,0.3325,-1.0,-1.0,0.0,0.0,0.0,-0.3325,-0.3325
0.584,-0.5,0.2,-0.75,0.0,1.0,0.0,-1.0,-1.0,-0.6,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.602,-1.0,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3325,-1.0,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.628,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.2,0.2,0.0,-1.0,0.0,0.0,-1.0,0.0,-0.6,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.595,0.0,-0.6,-1.0,-1.0,-1.0,0.0,-1.0,-0.3325,0.2,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.646,0.0,-0.6,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.2,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.545,-0.5,-0.2,-0.5,1.0,1.0,-1.0,-1.0,-0.3325,-1.0,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3325,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
