1,1.5285420026582268,1.555760145187378,0,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.49117838608423,0.5755996704101562,1,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.4562008844963985,0.5807094573974609,2,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.4485208087241384,0.5729844570159912,3,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.4577345378750197,0.5724513530731201,4,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.4580307092917113,0.5737957954406738,5,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.445277282973457,0.5779931545257568,6,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.4661341667860457,0.5752849578857422,7,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.492269883950888,0.5712125301361084,8,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.4670183315793426,0.5787785053253174,9,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.4605431785100216,0.573340892791748,10,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.5347805684645506,0.5739657878875732,11,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.47296085852532,0.5759613513946533,12,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.3788234456901873,0.5807647705078125,13,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.441963561225664,0.5711190700531006,14,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.4194981382501368,0.5749213695526123,15,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.5084342481397737,0.5696911811828613,16,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.486766722007846,0.5730991363525391,17,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.4417954218053062,0.5726656913757324,18,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.441436767693089,0.5733726024627686,19,{'V': 10, 'estimator': 'naive_estimator', 'lamda': 0, 'max_depth': 1, 'min_samples_split': 5, 'order': -1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.2899992987830429,7.172397613525391,0,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.2511925042977838,7.229684591293335,1,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1924601954384482,7.799898386001587,2,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.197591766377091,1.193833589553833,3,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.216916458662189,1.1766746044158936,4,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.2362957658508964,1.1759729385375977,5,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.2264749560346038,1.1769263744354248,6,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.246853371934014,1.1659791469573975,7,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.2260899081633454,1.1761295795440674,8,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.2625625840785046,1.1468877792358398,9,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.2260563474039088,1.168386459350586,10,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.281467681287285,1.1749827861785889,11,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.2412720212617125,1.1796960830688477,12,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.175964410960469,1.1475715637207031,13,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1868306122831507,1.180497407913208,14,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.2179280374343195,1.1843950748443604,15,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.2536542527573655,1.184190273284912,16,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.2045900381385932,1.180194616317749,17,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.194354758346272,1.1799066066741943,18,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.2016851705352591,1.177551507949829,19,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.001, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1635674101379998,1.1612777709960938,0,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1364169716178332,1.1741509437561035,1,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.100277761419357,1.1902782917022705,2,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1191572485802992,1.16876220703125,3,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1728387399948166,1.1846981048583984,4,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.122942794990897,1.1830222606658936,5,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1772828586025352,1.1884121894836426,6,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1438598212192321,1.180037021636963,7,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0869613231265842,1.2053465843200684,8,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1415389920548114,1.1801142692565918,9,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0801310209331856,1.179898977279663,10,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1672833365801047,1.1930835247039795,11,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1051713137209362,1.1978285312652588,12,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1163949265681508,1.1880803108215332,13,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1063150824890513,1.193540334701538,14,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.120917388711349,1.194582223892212,15,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.162625933003511,1.1754424571990967,16,{'V': 25, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1244841480773553,1.1788301467895508,17,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0909686373522085,1.1805615425109863,18,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0303851504405301,1.1832168102264404,19,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.086445076993455,1.1881821155548096,0,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0748988613735124,1.194303035736084,1,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0341077196393524,1.1933927536010742,2,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0459612165402017,1.193054437637329,3,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0988858738438527,1.1568357944488525,4,{'V': 20, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.054771661610084,1.1563563346862793,5,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.116732241337934,1.159048080444336,6,{'V': 20, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0580899965050345,1.1727569103240967,7,{'V': 25, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0614355173102261,1.1384251117706299,8,{'V': 20, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0672223210194667,1.156921625137329,9,{'V': 25, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0144445986764183,1.197094202041626,10,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0822043806297088,1.1407499313354492,11,{'V': 20, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0441604092593644,1.1742486953735352,12,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0431202044205723,1.1683361530303955,13,{'V': 20, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.078849162588023,1.195275068283081,14,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.051836620741788,1.1674692630767822,15,{'V': 20, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0978389693466648,1.1800031661987305,16,{'V': 25, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.118546643312691,1.1948373317718506,17,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 0.01, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
